age,age_cat,score_text,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,c_jail_in,c_jail_out,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,sex_Male,c_charge_degree_M
45,Greater than 45,Medium,8,-1.0,6,0,0,2013-09-22 06:06:07,2013-09-23 08:07:27,False,False,True,False,False,True,False
32,25 - 45,Medium,2,0.0,7,1,1,2013-08-26 03:38:03,2013-08-27 05:13:33,False,False,False,False,False,True,False
52,Greater than 45,Low,0,0.0,1,0,0,2013-03-25 04:21:35,2013-03-25 08:42:53,False,True,False,False,False,False,True
53,Greater than 45,Medium,3,-1.0,6,1,1,2013-04-13 10:46:45,2013-04-19 08:34:22,False,False,False,False,False,True,False
37,25 - 45,Medium,11,-1.0,7,1,1,2014-05-29 08:59:15,2014-05-30 01:17:20,False,False,False,False,False,True,True
29,25 - 45,Medium,1,-1.0,5,1,1,2013-12-18 02:09:10,2013-12-21 04:37:06,False,False,False,False,False,True,False
29,25 - 45,Medium,6,-22.0,6,1,1,2013-10-22 08:38:06,2013-11-13 09:32:53,False,False,False,False,False,True,False
31,25 - 45,Low,1,0.0,3,1,1,2014-06-08 12:19:50,2014-07-12 04:07:59,False,False,False,False,False,False,False
26,25 - 45,Medium,2,-1.0,5,0,0,2013-03-25 11:41:47,2013-03-26 01:03:38,False,True,False,False,False,True,False
50,Greater than 45,Medium,2,-28.0,5,1,1,2013-02-05 05:29:49,2013-02-06 01:46:06,False,False,False,False,False,True,True
30,25 - 45,Low,0,-1.0,2,0,0,2014-01-27 01:38:16,2014-01-27 06:54:27,False,True,False,False,False,True,False
29,25 - 45,Low,0,-2.0,3,0,0,2013-07-06 01:44:27,2013-07-07 01:34:55,False,True,False,False,False,True,True
56,Greater than 45,Low,1,0.0,2,0,0,2014-02-26 02:55:56,2014-03-13 08:51:59,False,True,False,False,False,True,False
29,25 - 45,High,11,-1.0,10,0,0,2013-02-27 10:06:03,2013-02-28 07:41:24,False,False,False,False,False,True,True
24,Less than 25,High,10,0.0,10,1,1,2013-05-25 02:03:09,2013-05-25 07:33:04,False,False,False,False,False,True,False
36,25 - 45,Low,0,0.0,1,0,0,2013-09-04 06:00:32,2013-09-05 05:33:52,False,True,False,False,False,True,True
24,Less than 25,Medium,8,-1.0,6,1,1,2013-04-10 05:59:23,2013-04-22 10:32:05,False,True,False,False,False,True,False
35,25 - 45,High,0,-1.0,8,1,1,2014-03-17 06:02:01,2014-05-13 11:54:15,False,False,False,False,False,True,True
37,25 - 45,Low,1,0.0,2,1,1,2013-09-21 02:54:54,2013-09-21 01:51:40,False,True,False,False,False,True,False
28,25 - 45,Medium,4,-1.0,5,1,1,2014-11-13 03:39:04,2014-11-15 04:22:29,False,False,False,False,False,False,False
23,Less than 25,High,2,-1.0,9,0,0,2013-01-29 05:48:24,2013-04-16 01:26:37,False,False,False,False,False,True,False
32,25 - 45,Medium,0,-1.0,7,0,0,2014-01-06 11:10:48,2014-01-31 03:41:01,False,False,False,False,False,True,False
55,Greater than 45,Low,1,-1.0,1,0,0,2013-04-18 08:53:43,2013-04-19 07:50:03,False,False,False,False,False,False,False
30,25 - 45,High,15,-4.0,9,1,1,2013-12-06 12:19:25,2013-12-06 07:38:02,False,False,False,False,False,False,False
35,25 - 45,Medium,12,0.0,6,1,1,2014-01-02 01:12:50,2014-01-03 11:08:07,False,False,False,False,False,True,True
50,Greater than 45,Low,9,-1.0,3,1,1,2013-04-11 07:29:18,2014-06-10 06:16:41,False,True,False,False,False,True,False
28,25 - 45,Low,0,0.0,4,0,0,2013-03-13 02:29:55,2013-03-13 08:19:55,False,False,False,False,False,True,False
33,25 - 45,Low,0,-1.0,1,0,0,2014-02-03 01:54:41,2014-02-04 01:11:16,False,False,False,False,False,True,False
37,25 - 45,High,24,-1.0,8,0,0,2013-01-20 03:28:03,2013-02-09 02:24:01,False,False,False,False,False,True,False
24,Less than 25,Medium,0,-1.0,7,0,0,2013-03-14 08:45:46,2013-03-17 08:58:08,False,False,False,False,False,True,True
19,Less than 25,Low,0,-1.0,4,1,1,2014-11-18 01:22:13,2014-11-19 10:10:03,False,False,False,False,False,False,True
24,Less than 25,Low,0,0.0,2,0,0,2013-01-10 02:33:14,2013-01-10 06:49:00,True,False,False,False,False,True,True
48,Greater than 45,Low,0,-1.0,2,0,0,2014-01-23 09:26:28,2014-01-24 09:36:51,False,True,False,False,False,True,False
54,Greater than 45,Low,4,-1.0,1,0,0,2013-05-05 04:15:11,2013-05-07 03:53:33,False,False,False,False,False,True,False
37,25 - 45,Low,1,-1.0,3,0,0,2013-06-18 03:54:18,2013-06-18 05:45:50,False,False,True,False,False,True,False
46,Greater than 45,Low,0,-1.0,1,0,0,2013-02-26 07:01:42,2013-02-27 07:50:29,False,False,False,False,False,True,False
21,Less than 25,Low,0,-2.0,4,0,0,2013-11-20 04:12:09,2013-11-21 07:53:21,False,True,False,False,False,False,False
37,25 - 45,Low,1,-25.0,3,0,0,2013-01-27 04:29:27,2013-01-28 08:30:45,False,True,False,False,False,False,True
20,Less than 25,Low,0,-1.0,4,1,1,2013-11-12 12:33:38,2013-11-14 02:05:37,False,True,False,False,False,True,False
39,25 - 45,Medium,6,0.0,5,0,0,2013-01-19 02:54:51,2013-01-20 01:40:51,False,False,False,False,False,False,False
43,25 - 45,Medium,8,-1.0,7,1,1,2013-04-19 08:41:22,2014-04-03 06:23:19,False,False,False,False,False,True,False
23,Less than 25,Medium,6,0.0,6,1,1,2013-04-26 05:16:50,2013-04-27 07:43:41,False,False,False,False,False,True,False
23,Less than 25,Medium,2,-1.0,5,0,0,2013-08-14 09:28:22,2013-08-16 10:44:46,False,False,True,False,False,True,False
23,Less than 25,Medium,0,-1.0,6,1,1,2014-05-09 08:34:58,2014-05-11 01:50:08,False,True,False,False,False,False,False
27,25 - 45,High,7,-1.0,8,1,1,2014-10-26 11:43:59,2014-10-27 08:16:00,False,True,False,False,False,True,False
22,Less than 25,Low,0,-1.0,3,1,1,2013-02-11 06:17:17,2013-02-12 08:09:43,False,False,False,False,False,True,False
33,25 - 45,Low,1,0.0,4,0,0,2014-02-07 03:22:03,2014-02-07 09:16:46,False,False,True,False,False,True,True
36,25 - 45,Low,9,0.0,4,1,1,2014-08-27 04:04:55,2014-08-28 09:08:32,False,True,False,False,False,True,True
56,Greater than 45,Low,13,-13.0,2,0,0,2013-06-26 10:01:48,2013-07-03 08:32:05,False,True,False,False,False,True,False
34,25 - 45,High,11,0.0,8,1,1,2013-04-22 11:11:43,2013-04-23 07:29:12,False,False,False,False,False,True,False
32,25 - 45,Low,0,0.0,1,0,0,2014-03-07 07:10:24,2014-03-17 07:16:22,False,False,True,False,False,False,True
26,25 - 45,High,3,-1.0,10,1,1,2014-12-05 03:27:48,2014-12-06 01:41:18,False,False,False,False,False,False,False
23,Less than 25,High,4,-1.0,9,1,1,2014-03-03 06:42:34,2014-07-25 05:03:57,False,False,False,False,False,True,False
22,Less than 25,High,0,-1.0,8,1,1,2013-04-20 11:00:29,2013-04-21 06:59:22,False,False,False,False,False,True,False
30,25 - 45,Low,4,-25.0,4,0,0,2013-06-01 07:39:34,2013-06-05 03:36:50,False,True,False,False,False,True,False
43,25 - 45,Low,3,-1.0,4,0,0,2013-08-29 08:55:23,2013-08-30 08:42:13,False,False,False,False,True,True,False
24,Less than 25,High,7,-1.0,9,0,0,2014-02-11 05:51:08,2014-02-12 08:36:39,False,False,False,False,False,False,False
22,Less than 25,Low,5,-1.0,4,1,1,2014-03-18 01:16:05,2014-03-20 12:11:12,False,False,False,False,True,True,False
29,25 - 45,Low,3,-1.0,2,1,1,2013-01-11 03:42:02,2013-01-12 04:42:30,False,False,False,False,False,True,False
58,Greater than 45,Low,4,-14.0,2,1,1,2014-08-27 09:14:45,2014-08-28 09:22:51,False,False,False,False,False,False,False
27,25 - 45,High,15,-1.0,10,1,1,2014-08-05 04:53:05,2014-09-23 01:03:33,False,False,False,False,False,True,False
29,25 - 45,Low,1,-1.0,2,1,1,2014-07-04 08:03:45,2014-07-05 08:54:02,False,False,True,False,False,False,False
58,Greater than 45,Low,5,-1.0,3,1,1,2014-03-08 04:26:56,2014-03-09 09:55:00,False,True,False,False,False,True,False
23,Less than 25,Medium,3,0.0,7,0,0,2014-03-10 02:25:18,2014-03-11 02:54:42,False,False,False,False,False,True,False
23,Less than 25,Low,0,-1.0,3,1,1,2013-05-15 04:59:47,2013-05-16 02:18:13,False,False,False,False,False,True,False
54,Greater than 45,Low,0,-1.0,1,0,0,2013-02-22 10:36:11,2013-02-24 02:27:44,False,False,False,False,False,True,False
30,25 - 45,Low,2,-1.0,3,0,0,2013-08-28 09:16:57,2013-08-29 07:25:16,False,False,False,False,False,False,True
52,Greater than 45,Low,1,-8.0,1,0,0,2013-10-08 04:39:44,2013-10-11 10:06:11,False,True,False,False,False,False,False
29,25 - 45,Low,2,-1.0,3,1,1,2013-01-26 01:09:16,2013-01-28 03:32:20,False,False,False,False,False,True,True
26,25 - 45,Medium,0,-1.0,5,0,0,2014-01-31 07:36:44,2014-02-01 08:44:54,False,True,False,False,False,True,True
38,25 - 45,High,19,-4.0,9,1,1,2013-06-01 09:43:13,2013-06-02 08:07:58,False,False,False,False,False,True,False
21,Less than 25,Medium,0,-1.0,5,1,1,2014-10-16 06:55:23,2014-10-17 08:00:15,False,True,False,False,False,True,False
30,25 - 45,Low,2,-1.0,3,1,1,2013-08-29 06:06:24,2013-08-31 04:40:05,False,False,False,False,False,True,False
57,Greater than 45,Low,0,-3.0,1,0,0,2014-01-03 04:30:49,2014-01-05 01:29:28,False,True,False,False,False,True,True
43,25 - 45,Low,2,-1.0,1,0,0,2014-02-25 01:35:38,2014-02-26 09:51:09,False,False,False,False,True,True,True
31,25 - 45,High,16,0.0,10,1,1,2013-01-14 12:17:47,2014-05-12 02:24:28,False,False,True,False,False,True,False
22,Less than 25,Low,0,-1.0,3,1,1,2014-12-03 07:24:28,2014-12-10 09:56:18,False,False,False,False,False,True,False
21,Less than 25,Low,0,0.0,4,1,1,2013-10-27 02:38:28,2013-10-27 08:27:39,False,False,True,False,False,True,False
49,Greater than 45,Low,1,-1.0,1,0,0,2013-09-09 05:23:57,2013-09-10 09:54:48,False,True,False,False,False,False,False
48,Greater than 45,Medium,10,-1.0,7,1,1,2014-09-19 03:50:41,2014-09-23 06:15:00,False,False,False,False,False,True,False
30,25 - 45,Medium,9,-1.0,6,1,1,2013-03-05 03:52:57,2013-03-06 09:40:14,False,False,False,False,False,True,False
32,25 - 45,High,1,-1.0,10,0,0,2013-10-13 09:56:52,2014-02-05 11:25:55,False,False,False,False,False,True,True
24,Less than 25,Low,3,-1.0,4,1,1,2013-04-05 07:02:50,2013-04-06 09:51:37,False,True,False,False,False,True,False
21,Less than 25,Low,1,-1.0,3,0,0,2013-04-17 03:21:05,2013-04-18 07:22:12,False,True,False,False,False,True,False
46,Greater than 45,Low,9,-1.0,4,0,0,2013-10-23 11:12:17,2013-10-28 12:40:39,False,False,False,False,False,True,False
50,Greater than 45,Medium,30,-1.0,6,1,1,2013-01-11 11:15:08,2013-01-15 04:45:40,False,True,False,False,False,False,True
22,Less than 25,Medium,1,-1.0,7,0,0,2013-08-21 06:28:25,2013-08-23 04:24:26,False,False,False,False,False,True,True
49,Greater than 45,Low,0,-1.0,2,0,0,2013-05-21 07:55:37,2013-05-22 08:28:30,False,False,True,False,False,True,True
49,Greater than 45,Low,8,-24.0,2,0,0,2013-03-19 06:42:18,2013-04-12 07:58:01,False,True,False,False,False,True,False
32,25 - 45,Medium,10,-1.0,6,1,1,2014-10-25 10:02:48,2014-10-26 01:48:41,False,False,False,False,False,True,False
51,Greater than 45,Low,6,0.0,1,1,1,2014-05-12 01:49:09,2014-05-12 07:22:31,False,True,False,False,False,True,False
69,Greater than 45,Medium,0,-1.0,5,0,0,2013-01-18 04:01:25,2013-01-19 01:25:00,False,True,False,False,False,True,False
48,Greater than 45,Low,5,-1.0,4,1,1,2013-09-11 10:49:58,2013-09-12 08:29:25,False,False,False,False,False,True,False
27,25 - 45,High,3,-1.0,9,1,1,2014-11-14 12:10:00,2014-11-15 11:29:02,False,False,False,False,False,True,False
41,25 - 45,Low,8,-1.0,2,1,1,2013-02-19 03:10:42,2013-02-20 09:19:43,False,False,False,False,False,True,False
69,Greater than 45,Low,0,-1.0,1,0,0,2013-01-30 08:36:13,2013-01-31 07:20:04,False,True,False,False,False,True,True
57,Greater than 45,Low,6,-23.0,2,0,0,2013-09-02 03:00:19,2013-09-03 07:50:44,False,True,False,False,False,True,False
22,Less than 25,High,2,-1.0,9,1,1,2014-02-13 12:25:47,2014-04-09 05:37:42,False,False,False,False,False,True,True
51,Greater than 45,Low,0,-1.0,1,0,0,2013-08-26 12:54:03,2013-08-26 08:14:39,False,False,True,False,False,True,True
52,Greater than 45,Low,7,-1.0,3,1,1,2014-05-31 10:26:26,2014-06-01 08:21:07,False,False,False,False,False,True,True
25,25 - 45,Low,3,-1.0,3,1,1,2013-12-08 10:31:26,2013-12-14 05:52:52,False,False,False,False,False,True,False
27,25 - 45,Low,6,-1.0,3,1,1,2014-03-25 09:53:07,2014-03-26 10:10:26,False,True,False,False,False,False,False
39,25 - 45,Low,0,-1.0,1,1,1,2014-10-27 09:19:54,2014-10-30 04:23:55,False,True,False,False,False,True,False
40,25 - 45,Low,0,0.0,1,0,0,2014-02-10 01:41:01,2014-02-10 08:22:50,False,False,True,False,False,True,True
33,25 - 45,Low,1,-1.0,2,0,0,2013-05-15 06:27:22,2013-05-16 04:09:53,False,True,False,False,False,True,False
26,25 - 45,High,10,0.0,8,1,1,2014-10-04 06:08:11,2014-10-05 02:46:08,False,True,False,False,False,True,True
24,Less than 25,High,9,-23.0,10,1,1,2013-08-17 01:46:04,2013-08-27 03:55:32,False,True,False,False,False,True,True
55,Greater than 45,Low,0,-1.0,1,1,1,2013-02-22 10:17:18,2013-02-23 09:04:28,False,False,False,False,False,True,True
24,Less than 25,Low,0,-1.0,2,1,1,2014-01-03 09:09:22,2014-01-04 01:32:53,False,True,False,False,False,True,False
24,Less than 25,High,6,0.0,10,0,0,2013-02-23 03:17:40,2013-03-02 08:24:16,False,True,False,False,False,True,False
30,25 - 45,Medium,4,-1.0,6,0,0,2013-02-13 11:45:50,2013-02-15 08:31:36,False,False,False,False,False,False,False
28,25 - 45,High,21,-1.0,10,1,0,2013-01-13 07:08:36,2013-01-14 08:33:28,False,False,False,False,False,True,False
53,Greater than 45,Low,9,-1.0,4,1,1,2013-04-14 05:05:29,2013-08-10 04:59:29,False,True,False,False,False,True,False
23,Less than 25,Medium,1,0.0,6,1,1,2013-04-05 06:11:22,2013-04-06 05:17:31,False,False,False,False,False,True,False
47,Greater than 45,Low,4,-1.0,4,1,1,2014-03-05 12:53:40,2014-03-06 08:44:05,False,False,False,False,False,True,False
26,25 - 45,Medium,0,0.0,5,0,0,2013-01-02 07:21:57,2013-01-02 07:31:59,False,True,False,False,False,True,False
45,Greater than 45,Low,6,0.0,4,0,0,2014-01-14 02:25:13,2014-01-15 11:05:21,False,False,False,False,False,True,False
31,25 - 45,High,9,0.0,8,1,1,2013-08-15 04:24:41,2013-08-16 03:24:28,False,False,False,False,False,True,False
33,25 - 45,Low,1,0.0,1,0,0,2014-01-24 02:49:16,2014-01-24 09:38:22,False,True,False,False,False,False,True
23,Less than 25,Medium,4,0.0,6,1,1,2014-10-13 12:49:23,2014-10-13 01:44:37,False,True,False,False,False,True,False
26,25 - 45,Medium,4,0.0,7,1,1,2014-01-29 04:01:47,2014-11-18 06:28:58,False,True,False,False,False,True,True
22,Less than 25,Medium,1,-1.0,7,1,1,2013-03-20 01:58:27,2013-03-21 01:08:42,False,False,False,False,False,True,False
28,25 - 45,High,5,-1.0,8,0,0,2013-02-16 04:25:52,2013-02-18 04:28:02,False,False,False,False,False,False,True
27,25 - 45,High,15,-1.0,10,1,1,2014-08-04 05:54:34,2014-09-03 09:09:40,False,False,False,False,False,True,False
36,25 - 45,Low,0,0.0,1,0,0,2014-03-20 05:28:52,2014-03-20 10:13:58,False,False,False,False,False,False,True
36,25 - 45,Low,4,-13.0,2,0,0,2014-01-31 07:43:56,2014-02-01 01:57:00,False,False,False,False,False,False,False
24,Less than 25,Low,0,-1.0,3,0,0,2013-12-16 08:36:34,2013-12-17 09:48:55,False,False,False,False,True,False,False
30,25 - 45,Low,0,0.0,4,0,0,2013-01-19 02:18:46,2013-03-16 11:21:32,False,True,False,False,False,True,True
23,Less than 25,Medium,6,-18.0,7,0,0,2013-11-28 11:32:18,2013-12-16 06:10:23,False,False,False,False,False,False,True
21,Less than 25,High,5,-10.0,8,1,1,2014-05-09 09:30:19,2014-05-11 01:49:57,False,True,False,False,False,True,False
37,25 - 45,Low,0,-1.0,3,0,0,2014-01-05 06:54:49,2014-01-07 03:15:44,False,True,False,False,False,True,True
29,25 - 45,Low,0,-1.0,1,0,0,2013-01-02 08:04:21,2013-01-03 11:24:59,False,False,False,False,True,True,False
51,Greater than 45,Low,1,-1.0,2,1,1,2013-08-08 04:57:26,2013-08-10 04:22:50,False,True,False,False,False,True,True
35,25 - 45,Medium,2,-15.0,6,0,0,2013-07-30 05:05:43,2013-08-14 02:10:10,False,False,False,False,False,False,False
53,Greater than 45,Low,0,0.0,1,0,0,2013-09-03 03:51:17,2013-09-03 09:08:08,False,False,False,False,True,True,True
21,Less than 25,High,0,-1.0,9,0,0,2013-05-13 01:34:59,2013-05-18 02:09:44,False,False,False,False,False,True,False
53,Greater than 45,Low,0,0.0,1,0,0,2013-10-23 02:26:06,2013-10-24 06:18:43,False,True,False,False,False,False,False
29,25 - 45,Medium,3,-1.0,6,0,0,2013-05-10 05:06:24,2013-11-04 03:54:40,False,False,False,False,True,True,False
65,Greater than 45,Low,1,-1.0,1,0,0,2013-12-23 12:11:10,2013-12-23 01:21:39,False,True,False,False,False,False,False
25,25 - 45,High,2,-1.0,9,1,0,2013-05-28 05:50:56,2013-05-29 07:54:28,False,False,False,False,False,True,False
50,Greater than 45,Low,2,-1.0,1,1,1,2013-03-19 11:02:32,2013-03-20 01:09:46,False,True,False,False,False,False,False
32,25 - 45,High,4,-1.0,10,1,1,2013-12-05 02:09:57,2013-12-05 09:40:53,False,True,False,False,False,True,False
22,Less than 25,Low,0,-1.0,3,0,0,2014-03-09 10:59:23,2014-03-10 03:29:33,False,False,True,False,False,True,True
24,Less than 25,Low,0,-1.0,4,0,0,2013-04-24 04:48:41,2013-04-26 08:16:49,False,False,False,False,False,True,False
22,Less than 25,Low,0,0.0,3,0,0,2014-01-22 12:55:30,2014-01-22 09:20:36,False,True,False,False,False,False,True
20,Less than 25,Medium,0,-1.0,7,1,1,2014-01-01 07:41:04,2014-01-02 08:43:28,False,False,False,False,False,False,True
27,25 - 45,Medium,2,0.0,5,0,0,2013-03-09 02:19:02,2013-03-09 09:06:46,False,True,False,False,False,True,False
29,25 - 45,Low,0,0.0,2,0,0,2013-04-10 04:22:08,2013-04-11 05:07:05,False,False,False,False,False,True,True
34,25 - 45,High,16,-1.0,9,1,1,2014-02-28 09:40:54,2014-03-01 09:49:28,False,False,False,False,False,True,False
58,Greater than 45,Low,0,0.0,1,0,0,2013-10-03 02:20:47,2013-10-03 07:55:20,False,True,False,False,False,True,True
23,Less than 25,High,3,-1.0,9,1,1,2013-01-16 09:46:14,2013-03-01 09:56:04,False,False,False,False,False,True,False
29,25 - 45,Low,1,-1.0,3,0,0,2013-12-07 07:49:30,2013-12-08 01:53:16,False,True,False,False,False,True,True
37,25 - 45,Low,3,-1.0,1,1,1,2013-04-18 02:12:18,2013-07-10 12:13:59,False,False,True,False,False,True,False
28,25 - 45,Medium,4,-1.0,7,0,0,2013-03-24 11:47:45,2013-04-23 09:07:38,False,False,False,False,False,True,False
54,Greater than 45,Low,6,0.0,1,0,0,2013-03-15 01:04:54,2013-03-16 01:02:43,False,True,False,False,False,True,False
21,Less than 25,High,3,-1.0,10,1,1,2013-04-18 04:32:05,2013-04-19 01:28:17,False,False,False,False,False,True,False
33,25 - 45,Low,0,-1.0,2,0,0,2013-03-10 04:24:37,2013-03-11 01:32:37,False,False,False,False,True,True,True
27,25 - 45,Medium,2,-1.0,6,1,1,2013-01-14 07:34:35,2013-01-18 08:28:33,False,False,False,False,False,False,False
20,Less than 25,Low,0,-1.0,4,1,0,2013-11-14 06:08:57,2013-11-15 08:54:29,False,False,False,False,False,True,False
24,Less than 25,High,0,-1.0,8,1,1,2013-01-17 07:29:28,2013-01-19 03:27:48,False,False,False,False,False,True,True
51,Greater than 45,High,17,-2.0,8,1,1,2013-07-10 11:25:29,2013-07-11 08:16:02,False,False,False,False,False,True,False
35,25 - 45,High,12,-1.0,8,1,1,2013-01-04 09:20:34,2013-01-05 08:05:12,False,False,False,False,False,True,False
34,25 - 45,Low,0,-1.0,1,0,0,2013-02-11 04:22:25,2013-02-12 07:48:00,False,False,False,False,False,True,False
20,Less than 25,Low,0,0.0,3,1,1,2014-01-26 05:38:03,2014-01-27 01:29:53,False,True,False,False,False,True,False
54,Greater than 45,Low,2,0.0,2,0,0,2013-09-15 01:38:34,2013-12-21 04:45:56,False,True,False,False,False,True,False
56,Greater than 45,Low,1,-1.0,1,0,0,2013-04-17 05:00:58,2013-04-18 05:52:26,False,False,False,False,False,False,False
60,Greater than 45,Low,9,0.0,3,1,1,2013-01-03 12:01:40,2014-01-23 05:25:00,False,True,False,False,False,False,False
23,Less than 25,High,6,0.0,9,1,1,2013-01-28 05:06:16,2013-02-03 02:50:43,False,True,False,False,False,True,False
58,Greater than 45,Medium,2,-1.0,5,0,0,2014-02-20 07:21:42,2014-02-25 08:15:11,False,True,False,False,False,True,False
24,Less than 25,High,1,-1.0,9,1,1,2013-03-20 07:27:26,2013-07-22 06:50:00,False,False,False,False,False,True,True
26,25 - 45,Low,0,-1.0,2,0,0,2013-12-11 03:26:14,2013-12-13 02:54:48,False,True,False,False,False,True,False
28,25 - 45,Low,0,-1.0,2,1,1,2014-12-18 11:16:49,2014-12-19 08:34:46,False,True,False,False,False,True,True
58,Greater than 45,Low,8,-1.0,2,0,0,2013-03-14 03:26:36,2013-03-15 06:34:03,False,True,False,False,False,True,True
58,Greater than 45,Low,0,-1.0,1,0,0,2013-01-12 03:18:57,2013-01-13 12:41:21,False,False,False,False,False,True,True
23,Less than 25,Medium,1,-1.0,7,1,1,2014-01-10 08:09:37,2014-02-06 09:07:24,False,False,False,False,False,True,True
55,Greater than 45,High,33,-1.0,9,1,1,2013-03-23 03:20:19,2013-11-20 04:58:00,False,True,False,False,False,True,False
42,25 - 45,Low,0,-1.0,4,0,0,2013-12-09 09:39:35,2013-12-10 01:03:57,False,True,False,False,False,True,False
23,Less than 25,High,0,0.0,9,1,1,2013-01-03 12:02:47,2013-01-22 08:41:13,False,True,False,False,False,True,False
21,Less than 25,Low,0,0.0,4,0,0,2014-03-10 04:22:06,2014-03-12 11:18:43,False,False,False,False,False,True,False
26,25 - 45,Medium,3,-1.0,5,1,0,2013-04-28 09:29:51,2013-04-29 08:39:30,False,False,False,False,False,False,False
40,25 - 45,Medium,2,-1.0,5,0,0,2013-01-27 08:40:41,2013-05-08 05:42:39,False,False,False,False,False,False,True
29,25 - 45,Low,0,0.0,2,0,0,2013-10-14 05:56:17,2013-10-14 02:00:55,False,False,True,False,False,True,False
31,25 - 45,Low,2,-1.0,2,1,0,2013-05-01 04:24:59,2013-05-03 09:29:24,False,False,False,False,False,True,False
22,Less than 25,Medium,0,-1.0,6,0,0,2013-03-27 07:30:55,2013-03-28 08:32:07,False,False,True,False,False,True,False
20,Less than 25,Medium,2,0.0,6,1,1,2014-10-14 03:01:08,2014-12-11 10:14:47,False,False,False,False,False,True,False
23,Less than 25,Low,1,0.0,4,0,0,2013-11-04 05:37:01,2013-11-05 03:43:13,False,False,False,False,False,True,False
38,25 - 45,Low,0,0.0,2,0,0,2013-01-13 03:01:20,2013-01-14 08:35:03,False,False,True,False,False,True,False
49,Greater than 45,Medium,12,-24.0,5,0,0,2013-02-08 10:08:21,2013-03-02 01:59:17,False,True,False,False,False,True,True
46,Greater than 45,Medium,9,0.0,5,0,0,2013-11-16 02:06:57,2013-11-20 05:42:41,False,True,False,False,False,True,True
32,25 - 45,Low,0,-1.0,2,0,0,2014-02-04 12:32:17,2014-02-05 09:57:20,False,False,False,False,False,False,True
24,Less than 25,High,3,-1.0,10,1,1,2014-01-18 08:34:16,2014-01-19 08:44:14,False,False,False,False,False,False,False
24,Less than 25,High,1,-1.0,9,1,1,2013-04-19 04:36:06,2013-04-25 09:32:05,False,False,False,False,False,True,True
22,Less than 25,Medium,0,-1.0,5,1,1,2014-06-20 04:14:19,2014-06-27 01:43:34,False,False,False,False,True,True,False
28,25 - 45,Low,0,0.0,4,0,0,2013-04-20 05:28:13,2013-04-20 07:17:54,False,False,True,False,False,True,False
29,25 - 45,Medium,4,-1.0,6,1,1,2013-04-11 11:52:52,2013-04-18 11:54:40,False,True,False,False,False,True,True
66,Greater than 45,Low,0,-1.0,1,0,0,2013-08-18 08:34:53,2013-08-20 07:37:33,False,True,False,False,False,True,True
41,25 - 45,Low,8,0.0,1,1,1,2014-09-09 02:54:08,2014-09-11 03:45:02,False,False,False,False,False,True,False
22,Less than 25,High,5,-1.0,8,1,1,2013-09-26 03:08:39,2013-10-15 06:00:47,False,False,False,False,False,True,False
31,25 - 45,Medium,4,-1.0,7,1,1,2014-01-26 09:54:39,2014-02-22 05:13:12,False,True,False,False,False,True,True
22,Less than 25,High,1,-1.0,8,0,0,2013-08-11 11:56:08,2013-08-29 09:24:17,False,True,False,False,False,False,True
20,Less than 25,Low,0,0.0,3,0,0,2013-10-28 04:46:03,2013-10-28 01:37:14,False,False,False,False,False,True,False
