ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,_v1,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,_v2,_v3,_v4,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3,Training_Sample,sex,race,age_cat,age,decile_score,score_text,priors_count,two_year_recid,is_recid,c_charge_degree
11,M,WHITE,43-47,5,No,3.0,Specialized,Less than HS diploma,1,Violent/Non-Sex,1-2 years,3.0,,2.0,1.0,1.0,3,Yes,No,0,3,No,0,0,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,0,9,2,2,42.8,0.300000011920929,0.0,0.300000011920929,0.0,1.0,3.413551401869159,Yes,Yes,No,Yes,No,1,Male,Caucasian,25 - 45,45.0,3.0,Low,7.0,1,1,F
12,M,BLACK,33-37,16,No,5.0,Specialized,High School Diploma,3 or more,Other,1-2 years,,1.0,1.0,1.0,2.0,3,No,No,3 or more,1,No,0,2 or more,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,4 or more,10 or more,0,0,8.04,0.0399999991059303,0.0,0.0799999982118607,0.0,0.0,0.0,Yes,Yes,Yes,No,No,0,Male,African-American,25 - 45,35.0,5.0,Medium,5.0,1,1,M
13,M,WHITE,48 or older,18,No,3.0,Standard,Less than HS diploma,1,Property,More than 3 years,8.0,4.0,0.0,,2.0,1,No,No,1,0,No,2,1,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,1,,0.0,0.0,0.0160550456494093,0.0022935778833926,0.0,,No,No,No,No,No,1,Male,Caucasian,Greater than 45,50.0,3.0,Low,14.0,0,0,F
14,M,BLACK,33-37,3,Yes,7.0,,High School Diploma,0,Drug,1-2 years,,3.0,1.0,1.0,,5 or more,No,No,0,1,Yes,1,2 or more,No,No,No,No,No,Yes,No,Yes,No,No,No,No,0,10 or more,0,1,,,,,,1.0,1.0,No,Yes,Yes,No,No,1,Male,African-American,25 - 45,35.0,7.0,Medium,5.0,1,1,F
15,M,WHITE,33-37,5,No,7.0,Standard,Less than HS diploma,1,Violent/Non-Sex,Greater than 2 to 3 years,9.0,3.0,2.0,2.0,4.0,4,No,Yes,3 or more,2,Yes,1,1,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,0,6,0,1,98.75,0.0,0.0,0.0,0.0,0.0,0.0,Yes,No,No,No,No,0,Male,Caucasian,25 - 45,35.0,7.0,Medium,20.0,0,0,F
16,M,BLACK,33-37,3,No,4.0,Standard,Less than HS diploma,3 or more,,More than 3 years,4.0,,0.0,0.0,3.0,4,No,Yes,2,4 or more,No,0,2 or more,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,0,2,0,0,74.5,0.0,0.0,0.0,0.0,0.3389261744966443,0.6128355704697986,No,No,No,No,No,0,Male,African-American,25 - 45,35.0,4.0,Low,7.0,0,0,
17,M,BLACK,38-42,16,No,6.0,High,Less than HS diploma,3 or more,Property,1-2 years,,5.0,2.0,3.0,3.0,4,Yes,No,3 or more,4 or more,Yes,1,2 or more,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,0,10 or more,0,0,114.5,0.0,0.0,0.0,0.0,0.5458515283842795,2.0,No,Yes,Yes,No,No,1,Male,African-American,25 - 45,40.0,6.0,Medium,13.0,1,1,F
18,M,WHITE,43-47,24,No,1.0,Standard,High School Diploma,3 or more,Property,Less than 1 year,,,0.0,,0.0,5 or more,Yes,Yes,3 or more,2,No,3 or more,0,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,0,0,0,2,,,,,,0.4521384928716904,0.7438900203665988,No,Yes,No,Yes,No,1,Male,Caucasian,25 - 45,45.0,1.0,Low,0.0,1,1,F
19,M,BLACK,48 or older,12,No,7.0,High,At least some college,3 or more,Property,More than 3 years,,4.0,0.0,,0.0,5 or more,No,No,3 or more,3,No,2,0,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,0,0,2,43.66666666666666,0.0,0.0,0.0,0.0,0.9185750636132316,0.4646946564885496,No,No,No,No,No,1,Male,African-American,Greater than 45,50.0,7.0,Medium,4.0,0,0,F
20,M,WHITE,48 or older,16,No,3.0,Standard,Less than HS diploma,0,Property,1-2 years,,,0.0,,1.0,5 or more,No,Yes,2,4 or more,No,3 or more,0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,4 or more,0,0,1,228.0,0.0,0.0,0.0,0.0,0.7947368421052632,0.3203947368421052,No,Yes,No,No,Yes,1,Male,Caucasian,Greater than 45,50.0,3.0,Low,1.0,1,1,F
21,M,BLACK,38-42,5,No,3.0,Standard,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,6.0,,,1.0,0.0,3,Yes,No,3 or more,2,Yes,0,0,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,0,1,0,0,,,,,,1.0,2.0,No,No,No,No,No,1,Male,African-American,25 - 45,40.0,3.0,Low,7.0,0,0,F
22,M,BLACK,33-37,16,No,5.0,Standard,Less than HS diploma,3 or more,Drug,1-2 years,,,0.0,1.0,,5 or more,No,No,2,4 or more,No,0,2 or more,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,0,6,0,0,22.85,0.0500000007450581,0.0,0.0,0.0,1.0,3.196936542669584,No,No,No,No,No,1,Male,African-American,25 - 45,35.0,5.0,Medium,1.0,0,0,F
23,F,WHITE,48 or older,5,,4.0,,High School Diploma,0,Violent/Non-Sex,1-2 years,2.0,,,,0.0,1,Yes,No,2,2,Yes,1,0,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,0,6,0,0,15.5,0.0,0.0,0.0555555559694767,0.0,0.0,0.0,No,No,No,No,No,0,Female,Caucasian,Greater than 45,50.0,4.0,Low,2.0,0,0,F
24,F,WHITE,43-47,16,,5.0,Standard,Less than HS diploma,0,Other,1-2 years,,,,,1.0,5 or more,Yes,No,3 or more,3,No,2,1,Yes,No,No,No,No,Yes,No,No,No,No,No,No,0,0,0,1,,,,,,0.9913793103448276,1.0,No,No,No,No,No,1,Female,Caucasian,25 - 45,45.0,5.0,Medium,1.0,0,0,M
25,M,BLACK,38-42,18,No,5.0,Standard,Less than HS diploma,3 or more,Drug,Less than 1 year,,,,1.0,,5 or more,Yes,No,3 or more,4 or more,Yes,1,2 or more,Yes,No,No,No,Yes,No,No,No,No,No,No,No,0,0,0,1,196.0,0.0,0.0,0.0,0.0,0.1964285714285714,0.9317602040816326,No,Yes,Yes,No,No,1,Male,African-American,25 - 45,40.0,5.0,Medium,1.0,1,1,F
26,M,WHITE,48 or older,17,No,2.0,,Less than HS diploma,1,Property,1-2 years,9.0,5.0,0.0,,0.0,5 or more,No,No,3 or more,4 or more,No,3 or more,0,Yes,No,No,No,No,Yes,No,No,No,No,No,No,0,0,0,1,,,,,,1.0,2.0,No,Yes,Yes,No,No,1,Male,Caucasian,Greater than 45,50.0,2.0,Low,14.0,1,1,F
27,M,WHITE,48 or older,14,No,2.0,Specialized,Less than HS diploma,0,Drug,1-2 years,9.0,,0.0,0.0,2.0,5 or more,No,No,3 or more,4 or more,No,0,2 or more,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,4 or more,6,0,0,31.0,0.0,0.0,0.0,0.0,0.8064516129032258,1.0,No,No,No,No,No,0,Male,Caucasian,Greater than 45,50.0,2.0,Low,11.0,0,0,F
28,M,WHITE,48 or older,23,No,3.0,Standard,Less than HS diploma,0,Other,1-2 years,,,,,1.0,5 or more,No,No,3 or more,4 or more,Yes,3 or more,1,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,0,5,3 or more,1,43.14285714285715,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes,No,0,Male,Caucasian,Greater than 45,50.0,3.0,Low,1.0,1,1,M
29,M,BLACK,43-47,6,No,6.0,High,High School Diploma,0,Property,Greater than 2 to 3 years,7.0,,0.0,,0.0,2,No,Yes,2,3,No,3 or more,0,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,0,0,0,3 or more,357.4,0.0,0.0,0.0,0.0,0.8953553441522104,0.2043928371572468,Yes,No,No,No,No,1,Male,African-American,25 - 45,45.0,6.0,Medium,7.0,0,0,F
30,M,BLACK,18-22,2,No,10.0,Specialized,Less than HS diploma,0,Property,1-2 years,5.0,2.0,0.0,2.0,4.0,1,No,No,0,0,No,0,0,No,No,No,No,No,Yes,No,Yes,No,No,No,No,0,0,0,3 or more,1087.0,1.0,0.0,0.0,0.0,0.0,0.0,No,Yes,Yes,No,No,1,Male,African-American,Less than 25,20.0,10.0,High,13.0,1,1,F
31,M,WHITE,43-47,14,No,10.0,Specialized,At least some college,0,Property,1-2 years,,,,,0.0,5 or more,Yes,Yes,3 or more,4 or more,No,3 or more,0,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,4 or more,2,0,0,23.8,0.0,0.0,0.2000000029802322,0.2000000029802322,0.7142857142857143,1.0,No,Yes,Yes,No,No,0,Male,Caucasian,25 - 45,45.0,10.0,High,0.0,1,1,F
32,F,WHITE,43-47,16,,9.0,Specialized,Less than HS diploma,0,Property,1-2 years,,,2.0,,0.0,4,No,No,3 or more,4 or more,Yes,3 or more,0,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,0,10 or more,0,1,,,,,,1.0,0.7064796905222437,Yes,No,No,No,No,1,Female,Caucasian,25 - 45,45.0,9.0,High,2.0,0,0,F
33,M,WHITE,43-47,25,Yes,8.0,Standard,High School Diploma,1,Drug,1-2 years,,2.0,,4.0,2.0,5 or more,No,Yes,3 or more,3,Yes,1,2 or more,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,0,6,2,0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes,No,1,Male,Caucasian,25 - 45,45.0,8.0,High,8.0,1,1,F
34,F,WHITE,38-42,12,,10.0,Specialized,At least some college,3 or more,Property,1-2 years,,,0.0,,,5 or more,No,No,1,4 or more,No,3 or more,2 or more,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,6,0,0,44.625,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,Yes,No,No,1,Female,Caucasian,25 - 45,40.0,10.0,High,0.0,1,1,F
35,M,WHITE,33-37,14,No,4.0,Standard,Less than HS diploma,0,Drug,Less than 1 year,5.0,,1.0,0.0,4.0,5 or more,No,Yes,3 or more,4 or more,No,0,2 or more,Yes,No,No,No,No,No,No,No,No,No,No,No,2,3,2,0,12.71428571428571,0.2857142984867096,0.0,0.2857142984867096,0.1428571492433548,0.0,0.0,No,Yes,Yes,No,No,0,Male,Caucasian,25 - 45,35.0,4.0,Low,10.0,1,1,F
36,M,BLACK,48 or older,10,No,2.0,Standard,Less than HS diploma,0,Drug,Less than 1 year,,,1.0,,4.0,4,No,No,3 or more,4 or more,No,3 or more,1,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,4 or more,1,1,2,27.72727272727273,0.0,0.2272727340459824,0.0,0.0,0.6540983606557377,0.5987704918032787,Yes,No,No,No,No,1,Male,African-American,Greater than 45,50.0,2.0,Low,5.0,0,0,F
37,M,WHITE,43-47,14,No,3.0,,High School Diploma,2,Drug,Less than 1 year,,,,1.0,,5 or more,No,No,3 or more,4 or more,Yes,0,2 or more,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,0,0,0,0,,,,,,0.0,0.0,No,No,No,No,No,1,Male,Caucasian,25 - 45,45.0,3.0,Low,1.0,0,0,F
38,M,BLACK,33-37,3,Yes,6.0,High,Less than HS diploma,0,Property,Greater than 2 to 3 years,,,0.0,,0.0,5 or more,No,No,2,4 or more,No,3 or more,0,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,3,0,0,1,71.06666666666666,0.0666666701436043,0.0,0.0,0.0,0.0,0.0,No,Yes,No,No,Yes,1,Male,African-American,25 - 45,35.0,6.0,Medium,0.0,1,1,F
39,M,BLACK,33-37,12,No,3.0,Standard,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,8.0,,2.0,2.0,1.0,5 or more,No,No,3 or more,4 or more,Yes,2,1,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,0,4,1,0,13.16666666666667,0.0,0.0,0.0,0.0,1.0,1.0,No,Yes,No,No,Yes,1,Male,African-American,25 - 45,35.0,3.0,Low,13.0,1,1,F
40,F,BLACK,38-42,2,,2.0,Standard,At least some college,1,Property,1-2 years,2.0,0.0,0.0,1.0,0.0,0,No,No,0,0,No,0,0,No,No,No,No,No,No,No,Yes,No,No,No,No,0,0,0,0,,,,,,0.9814126394052044,1.0,No,No,No,No,No,1,Female,African-American,25 - 45,40.0,2.0,Low,3.0,0,0,F
41,M,WHITE,33-37,14,No,10.0,Specialized,High School Diploma,1,Property,More than 3 years,,,1.0,,1.0,5 or more,No,No,3 or more,4 or more,Yes,3 or more,0,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,2,4,3 or more,1,16.28571428571428,0.1428571492433548,0.0,0.2857142984867096,0.0,1.0,1.0,No,Yes,Yes,No,No,1,Male,Caucasian,25 - 45,35.0,10.0,High,2.0,1,1,F
42,M,BLACK,48 or older,3,No,3.0,Specialized,High School Diploma,3 or more,Violent/Non-Sex,1-2 years,9.0,4.0,,0.0,0.0,4,No,Yes,2,1,Yes,0,0,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,0,0,0,0,136.5,0.0,0.0,0.0,0.0,0.8864468864468864,2.0,No,No,No,No,No,1,Male,African-American,Greater than 45,50.0,3.0,Low,13.0,0,0,F
43,F,WHITE,43-47,16,,2.0,Standard,At least some college,0,Property,Less than 1 year,,,,,1.0,5 or more,No,No,3 or more,2,No,3 or more,0,Yes,No,No,No,No,Yes,No,No,No,No,No,No,0,5,2,2,,,,,,0.0,0.0,No,Yes,Yes,No,No,0,Female,Caucasian,25 - 45,45.0,2.0,Low,1.0,1,1,F
44,M,WHITE,33-37,16,No,9.0,Specialized,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,,,2.0,4.0,4.0,5 or more,No,Yes,3 or more,4 or more,Yes,1,2 or more,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,4 or more,10 or more,3 or more,0,145.5,0.0,0.0,0.0,0.0,0.0,0.0,No,Yes,Yes,No,No,0,Male,Caucasian,25 - 45,35.0,9.0,High,10.0,1,1,F
45,M,BLACK,43-47,21,Yes,5.0,,High School Diploma,0,Drug,1-2 years,8.0,,,2.0,2.0,5 or more,No,Yes,3 or more,2,Yes,1,2 or more,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,4 or more,0,0,2,56.33333333333334,0.0,0.0,0.0,0.0,1.0,2.0,No,Yes,No,Yes,No,0,Male,African-American,25 - 45,45.0,5.0,Medium,12.0,1,1,F
46,M,BLACK,38-42,24,No,4.0,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,5.0,4.0,1.0,1.0,0.0,3,No,No,2,2,Yes,0,0,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,0,4,0,0,25.77272727272727,0.0,0.0,0.0,0.0,0.5061728395061729,1.288359788359788,No,Yes,No,No,Yes,0,Male,African-American,25 - 45,40.0,4.0,Low,11.0,1,1,F
47,M,WHITE,38-42,12,No,4.0,Standard,High School Diploma,2,Drug,Less than 1 year,4.0,,0.0,2.0,3.0,4,No,No,2,4 or more,No,1,2 or more,Yes,No,No,No,No,Yes,No,No,No,No,No,No,4 or more,6,0,0,16.86,0.0599999986588955,0.0,0.0399999991059303,0.0399999991059303,0.9857651245551602,0.4332740213523132,No,No,No,No,No,1,Male,Caucasian,25 - 45,40.0,4.0,Low,9.0,0,0,F
48,M,WHITE,38-42,4,No,3.0,Specialized,High School Diploma,1,Violent/Sex,1-2 years,3.0,0.0,0.0,1.0,0.0,0,No,No,0,0,No,0,0,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,0,10 or more,0,0,97.8,0.0,0.0,0.0,0.0,1.0,1.493865030674846,No,No,No,No,No,1,Male,Caucasian,25 - 45,40.0,3.0,Low,4.0,0,0,F
49,M,WHITE,33-37,16,No,4.0,Standard,High School Diploma,3 or more,Other,Less than 1 year,6.0,2.0,0.0,2.0,2.0,1,No,Yes,3 or more,1,No,2,1,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,0,6,0,3 or more,109.3333333333333,0.0,0.0,0.0,0.0,0.7347560975609756,2.0,No,Yes,Yes,No,No,0,Male,Caucasian,25 - 45,35.0,4.0,Low,12.0,1,1,M
50,M,BLACK,38-42,17,No,9.0,Specialized,Less than HS diploma,0,Drug,Greater than 2 to 3 years,7.0,,1.0,3.0,3.0,0,No,No,3 or more,1,No,0,2 or more,No,No,No,Yes,No,No,No,No,No,No,No,No,0,3,0,3 or more,50.31578947368421,0.0,0.0,0.0,0.0,1.0,2.292364016736402,No,No,No,No,No,1,Male,African-American,25 - 45,40.0,9.0,High,14.0,0,0,F
51,F,WHITE,43-47,9,,7.0,High,At least some college,0,Property,1-2 years,,,0.0,,,5 or more,No,Yes,3 or more,4 or more,No,3 or more,2 or more,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,4 or more,10 or more,0,3 or more,33.84848484848485,0.0,0.0,0.030303031206131,0.0,0.0644583706356312,0.3269919427036705,No,No,No,No,No,1,Female,Caucasian,25 - 45,45.0,7.0,Medium,0.0,0,0,F
52,M,WHITE,33-37,14,No,9.0,Specialized,At least some college,0,Drug,Less than 1 year,,,1.0,,4.0,5 or more,No,No,3 or more,4 or more,No,3 or more,2 or more,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,2,0,0,1,,,,,,0.0,0.0,No,Yes,Yes,No,No,1,Male,Caucasian,25 - 45,35.0,9.0,High,5.0,1,1,F
53,M,WHITE,18-22,21,No,8.0,Specialized,At least some college,3 or more,Other,1-2 years,6.0,3.0,1.0,1.0,1.0,4,Yes,No,3 or more,2,Yes,1,1,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,4 or more,10 or more,2,3 or more,15.87878787878788,0.060606062412262,0.0,0.030303031206131,0.030303031206131,0.2862595419847328,2.091125954198473,Yes,Yes,No,Yes,No,1,Male,Caucasian,Less than 25,20.0,8.0,High,12.0,1,1,M
54,M,BLACK,48 or older,3,No,5.0,Standard,Less than HS diploma,3 or more,Drug,Less than 1 year,,,2.0,,,5 or more,No,No,3 or more,4 or more,No,3 or more,2 or more,Yes,No,No,No,No,Yes,No,No,No,No,No,No,0,0,0,0,,,,,,0.0,0.0,No,No,No,No,No,1,Male,African-American,Greater than 45,50.0,5.0,Medium,2.0,0,0,F
55,M,BLACK,38-42,3,No,5.0,Specialized,High School Diploma,3 or more,Property,1-2 years,8.0,,0.0,,1.0,5 or more,No,No,3 or more,4 or more,No,3 or more,1,Yes,No,No,No,No,No,No,Yes,No,No,No,No,0,10 or more,1,0,36.89655172413793,0.0,0.0,0.0,0.0,0.9457943925233644,0.3413551401869159,No,No,No,No,No,1,Male,African-American,25 - 45,40.0,5.0,Medium,9.0,0,0,F
56,M,BLACK,23-27,4,No,8.0,High,Less than HS diploma,3 or more,,Greater than 2 to 3 years,4.0,2.0,2.0,0.0,3.0,2,Yes,No,1,3,Yes,0,1,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,4 or more,8,1,3 or more,858.0,0.5,0.0,0.0,0.0,0.0,0.0,No,Yes,Yes,No,No,1,Male,African-American,Less than 25,25.0,8.0,High,11.0,1,1,
57,M,BLACK,38-42,3,No,,High,High School Diploma,0,Violent/Sex,1-2 years,,,2.0,0.0,2.0,5 or more,No,No,3 or more,3,No,0,0,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,4 or more,10 or more,3 or more,0,57.1875,0.0,0.0,0.0,0.0,1.0,0.7983606557377049,No,Yes,No,No,Yes,1,Male,African-American,25 - 45,40.0,,,4.0,1,1,F
58,M,BLACK,38-42,6,No,5.0,Standard,At least some college,0,Violent/Non-Sex,Greater than 2 to 3 years,,,,,1.0,5 or more,Yes,No,1,4 or more,Yes,1,0,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,4 or more,0,0,2,115.7142857142857,0.1428571492433548,0.0,0.0,0.0,0.0,0.0,No,Yes,No,No,Yes,0,Male,African-American,25 - 45,40.0,5.0,Medium,1.0,1,1,F
59,M,BLACK,33-37,3,No,7.0,High,High School Diploma,3 or more,,1-2 years,6.0,,0.0,1.0,,4,No,No,3 or more,0,No,1,2 or more,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0,6,1,0,532.0,0.0,0.0,0.0,0.0,0.2114661654135338,0.3432800751879699,No,Yes,Yes,No,No,1,Male,African-American,25 - 45,35.0,7.0,Medium,7.0,1,1,
60,M,WHITE,43-47,3,No,6.0,High,Less than HS diploma,3 or more,,1-2 years,6.0,,0.0,0.0,,3,No,Yes,3 or more,4 or more,No,0,2 or more,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,0,10 or more,1,0,12.21621621621622,0.0,0.0,0.0810810774564743,0.0,0.0,0.0,No,Yes,No,Yes,No,0,Male,Caucasian,25 - 45,45.0,6.0,Medium,6.0,1,1,
